   978                   C++程序设计          谭浩强         6         6
   111                      数据结构          殷人昆         6         8
   284                      汇编语言            王爽         4         4
   614                      线性代数        同济大学         6         9
   557                      数学之美            吴军         3         3
   028        Python编程从入门到实践     EricMatthes         4         4
   175                      码农翻身            刘欣         5         5
   878                  代码整洁之道            马丁         2         2
   373         姑娘,这才是真实的世界            黄兰         6         6
   593                          红岩          罗广斌        12        12
